Substância Ativa/DCI,Nome do Medicamento,Forma Farmacêutica,Dosagem,Titular de AIM,Genérico,Estado da AIM,Comercialização
Irbesartan,Aprovel,Comprimido,150 mg,Sanofi Winthrop Industrie,Não,Autorizado,Comercializado
Diazepam,Diazepam Ratiopharm 5 mg Comprimidos,Comprimido,5 mg,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Sim,Autorizado,Comercializado
Amicacina,Amicacina Hikma,Solução injetável,100 mg/2 ml,"Hikma Farmacêutica (Portugal), S.A.",Não,Autorizado,Não Comercializado
Fitomenadiona,Kanakion Mm,Solução injetável,10 mg/1 ml,Cheplapharm Arzneimittel GmbH,Não,Autorizado,Comercializado
Irbesartan,Karvea,Comprimido,75 mg,Sanofi Winthrop Industrie,Não,Autorizado,Não Comercializado
Irbesartan,Karvea,Comprimido,150 mg,Sanofi Winthrop Industrie,Não,Autorizado,Não Comercializado
Irbesartan,Karvea,Comprimido,300 mg,Sanofi Winthrop Industrie,Não,Autorizado,Não Comercializado
Insulina lispro (solúvel),Humalog,Solução injetável,100 U/ml,"Eli Lilly Nederland, B.V.",Não,Autorizado,Comercializado
Quimotripsina + Tripsina,Chimar Oral,Comprimido gastrorresistente,100000 U,"A. Menarini Portugal - Farmacêutica, S.A.",Não,Autorizado,Não Comercializado
Trepibutona,Choliatron,Comprimido,40 mg,"Laboratório Medinfar - Produtos Farmacêuticos, S.A.",Não,Autorizado,Comercializado
Dacarbazina,Dacarbazina Medac,Pó para solução para perfusão,1000 mg,Medac Gesellschalft fur Klinische Spezialpraparate GmbH,Não,Autorizado,Comercializado
Sinvastatina + Ezetimiba,Sinvastatina + Ezetimiba Alter,Comprimido,80 mg + 10 mg,"Alter, S.A.",Sim,Autorizado,Não Comercializado
Dacarbazina,Dacarbazina Medac,Pó e solvente para solução injetável ou para perfusão,200 mg,Medac Gesellschalft fur Klinische Spezialpraparate GmbH,Não,Autorizado,Não Comercializado
Diazepam,Diazepam Ratiopharm 10 mg Comprimidos,Comprimido,10 mg,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Sim,Autorizado,Comercializado
Macrogol e outras associações,Klean-Prep,Pó para solução oral,Associação,"Helsinn Birex Pharmaceuticals, Ltd.",Não,Autorizado,Comercializado
Fentanilo,Durogesic,Sistema transdérmico,50 µg/h,"Janssen Farmacêutica Portugal, Lda.",Não,Autorizado,Comercializado
Fentanilo,Durogesic,Sistema transdérmico,100 µg/h,"Janssen Farmacêutica Portugal, Lda.",Não,Autorizado,Comercializado
Dacarbazina,Dacarbazina Medac,Pó para solução para perfusão,500 mg,Medac Gesellschalft fur Klinische Spezialpraparate GmbH,Não,Autorizado,Comercializado
Fentanilo,Durogesic,Sistema transdérmico,25 µg/h,"Janssen Farmacêutica Portugal, Lda.",Não,Autorizado,Comercializado
Cloropromazina,Largactil,"Gotas orais, solução",40 mg/ml,"Faes Farma Portugal, S.A.",Não,Autorizado,Comercializado
Cloropromazina,Largactil IM,Solução injetável,25 mg/5 ml,"Faes Farma Portugal, S.A.",Não,Autorizado,Comercializado
Clopidogrel,Iscover,Comprimido revestido por película,75 mg,Sanofi Winthrop Industrie,Não,Autorizado,Não Comercializado
Mononitrato de isossorbida,Ismo Retard,Comprimido de libertação prolongada,40 mg,"Pharmakern Portugal - Produtos Farmacêuticos, Sociedade Unipessoal, Lda.",Não,Autorizado,Não Comercializado
Calcifediol,Dedrogyl,Solução oral,0.15 mg/ml,"Desma Laboratorio Farmaceutico, S.L.",Não,Autorizado,Comercializado
Iodopovidona,Betadine,Espuma vaginal,40 mg/ml,"BGP Products, Unipessoal Lda.",Não,Autorizado,Comercializado
Glicerol,Verolax,Solução retal,6750 mg,"Angelini Pharma Portugal, Unipessoal Lda",Não,Autorizado,Comercializado
Ácido ibandrónico,Iasibon,Concentrado para solução para perfusão,1 mg/1 ml,"Pharmathen, S.A.",Sim,Autorizado,Não Comercializado
Ácido ibandrónico,Iasibon,Concentrado para solução para perfusão,2 mg/2 ml,"Pharmathen, S.A.",Sim,Autorizado,Não Comercializado
Ácido ibandrónico,Iasibon,Concentrado para solução para perfusão,6 mg/6 ml,"Pharmathen, S.A.",Sim,Autorizado,Não Comercializado
Dinitrato de isossorbida,Isoket,Solução injetável,10 mg/10 ml,Merus Labs Luxco II S.à.r.l.,Não,Autorizado,Comercializado
Epoetina alfa,Eprex 10000 UI/ml Solução Injectável em Seringas Pré-cheias,Solução injetável em seringa pré-cheia,10000 U.I./1 ml,"Janssen-Cilag Farmacêutica, Lda",Não,Autorizado,Não Comercializado
Isoniazida,Isoniazida Labesfal,Comprimido,300 mg,"Labesfal - Laboratórios Almiro, S.A.",Não,Autorizado,Não Comercializado
Adapaleno,Differin,Gel,1 mg/g,Laboratorios Galderma S.A. - Sucursal em Portugal,Não,Autorizado,Comercializado
Isoprenalina,Isoprenalina Labesfal,Solução injetável,1 mg/1 ml,"Labesfal - Laboratórios Almiro, S.A.",Não,Autorizado,Não Comercializado
Epoetina alfa,Eprex 4000 UI/ml Solução Injectável em Seringas Pré-cheias,Solução injetável em seringa pré-cheia,2000 U.I./0.5 ml,"Janssen-Cilag Farmacêutica, Lda",Não,Autorizado,Não Comercializado
Isoprenalina,Isoprenalina Labesfal,Solução injetável,2 mg/1 ml,"Labesfal - Laboratórios Almiro, S.A.",Não,Autorizado,Não Comercializado
Isoprenalina,Isoprenalina Labesfal,Solução injetável,0.1 mg/1 ml,"Labesfal - Laboratórios Almiro, S.A.",Não,Autorizado,Não Comercializado
Ácido aminocapróico,Epsicaprom,Pó para solução oral,3000 mg,"Laboratórios Basi - Indústria Farmacêutica, S.A",Não,Autorizado,Comercializado
Isoprenalina,Isoprenalina Labesfal,Solução injetável,0.2 mg/1 ml,"Labesfal - Laboratórios Almiro, S.A.",Não,Autorizado,Não Comercializado
Ácido ascórbico,Ácido Ascórbico Labesfal,Solução injetável,100 mg/2 ml,"Labesfal - Laboratórios Almiro, S.A.",Não,Autorizado,Não Comercializado
Verapamilo,Isoptin,Solução injetável,5 mg/2 ml,"BGP Products, Unipessoal Lda.",Não,Autorizado,Comercializado
Cobamamida,Jaba B12,Comprimido,2.5 mg,"Jaba Recordati, S.A.",Não,Autorizado,Não Comercializado
Cobamamida,Jaba B12,Pó e solvente para solução injetável,5 mg/2 ml,"Jaba Recordati, S.A.",Não,Autorizado,Não Comercializado
Cobamamida,Jaba B12,Pó e solvente para solução injetável,10 mg/2 ml,"Jaba Recordati, S.A.",Não,Autorizado,Não Comercializado
Fexofenadina,Telfast 180,Comprimido revestido por película,180 mg,"Opella Healthcare Portugal, Unipessoal Lda",Não,Autorizado,Comercializado
Clonixina,Algimate,Comprimido revestido por película,125 mg,"Jaba Recordati, S.A.",Não,Autorizado,Comercializado
Paracetamol + Cafeína,Paracetamol + Cafeína Algik,Pó para solução oral,500 mg + 50 mg,"Laboratórios Azevedos - Indústria Farmacêutica, S.A.",Não,Autorizado,Comercializado
Clonixina,Algimate,Solução injetável,100 mg/2 ml,"Jaba Recordati, S.A.",Não,Autorizado,Não Comercializado
Cefaclor,Ceclor,Cápsula,500 mg,"Laboratório Medinfar - Produtos Farmacêuticos, S.A.",Não,Autorizado,Comercializado
Dextrometorfano,Vicks Xarope Antitussico Mel,Xarope,1.33 mg/ml,"Laboratorios Vicks, S.L.",Não,Autorizado,Não Comercializado
Piroxicam,Reumoxican,Supositório,20 mg,"Laboratório Medinfar - Produtos Farmacêuticos, S.A.",Não,Autorizado,Comercializado
Paracetamol,Dafalgan 1 g,Comprimido efervescente,1000 mg,UPSA SAS,Não,Autorizado,Comercializado
Metoclopramida,Metoclopramida Medinfar,Solução injetável,10 mg/2 ml,"Laboratório Medinfar - Produtos Farmacêuticos, S.A.",Não,Autorizado,Comercializado
Metoclopramida,Metgen,Solução oral,1 mg/ml,"Laboratórios Basi - Indústria Farmacêutica, S.A",Não,Autorizado,Comercializado
Insulina lispro (solúvel + protamina),Liprolog Mix 50,Suspensão injetável,100 U/ml (50% + 50%),"Eli Lilly Nederland, B.V.",Não,Autorizado,Não Comercializado
Insulina lispro (solúvel),Liprolog-Pen,Solução injetável,100 U/ml,"Eli Lilly Nederland, B.V.",Não,Autorizado,Não Comercializado
Insulina lispro (solúvel + protamina),Liprolog Mix 25 Pen,Suspensão injetável,100 U/ml (25% + 75%),"Eli Lilly Nederland, B.V.",Não,Autorizado,Não Comercializado
Insulina lispro (solúvel + protamina),Liprolog Mix 50 Pen,Suspensão injetável,100 U/ml (50% + 50%),"Eli Lilly Nederland, B.V.",Não,Autorizado,Não Comercializado
Lidocaína + Prilocaína,Emla,Creme,25 mg/g + 25 mg/g,Aspen Pharma Trading Ltd.,Não,Autorizado,Comercializado
Lamivudina,Epivir,Comprimido revestido por película,150 mg,ViiV Healthcare BV,Não,Autorizado,Comercializado
Ciclopentolato,Midriodavi,"Colírio, solução",10 mg/ml,"DAVI II - Farmacêutica, S.A.",Não,Autorizado,Comercializado
Dexpantenol,Bepanthene,Pomada,50 mg/g,"Bayer Portugal, Lda.",Não,Autorizado,Comercializado
Dexpantenol,Bepanthene,Creme,50 mg/g,"Bayer Portugal, Lda.",Não,Autorizado,Comercializado
Lamivudina,Epivir,Solução oral,10 mg/ml,ViiV Healthcare BV,Não,Autorizado,Comercializado
Insulina lispro (solúvel + protamina),Humalog Mix25,Suspensão injetável,100 U/ml (25% + 75%),"Eli Lilly Nederland, B.V.",Não,Autorizado,Não Comercializado
Insulina lispro (solúvel + protamina),Humalog Mix50,Suspensão injetável em cartucho,100 U/ml (50% + 50%),"Eli Lilly Nederland, B.V.",Não,Autorizado,Comercializado
Cloranfenicol,Micetinoftalmina,Pomada oftálmica,10 mg/g,"DAVI II - Farmacêutica, S.A.",Não,Autorizado,Comercializado
Pseudoefedrina + Triprolidina,Actifed,Comprimido,60 mg + 2.5 mg,"Johnson & Johnson, Lda.",Não,Autorizado,Comercializado
Dexametasona,Dexaval,Creme,1 mg/g,"Tecnifar - Indústria Técnica Farmacêutica, S.A.",Não,Autorizado,Comercializado
Dexametasona,Dexaval Capilar,Solução cutânea,1 mg/ml,"Tecnifar - Indústria Técnica Farmacêutica, S.A.",Não,Autorizado,Comercializado
Electrólitos + Glucose,Dioralyte (Sabor Limão),Pó para solução oral,Associação,"Korangi - Produtos Farmacêuticos, Lda.",Não,Autorizado,Comercializado
Electrólitos + Glucose,Dioralyte(Sabor Neutro),Comprimido efervescente,Associação,"Korangi - Produtos Farmacêuticos, Lda.",Não,Autorizado,Não Comercializado
Clotrimazol,Micolysin,Solução cutânea,10 mg/g,"Labialfarma - Laboratório de Produtos Farmacêuticos e Nutracêuticos, S.A.",Não,Autorizado,Comercializado
Electrólitos + Glucose,Dioralyte(Sabor Neutro),Pó para solução oral,Associação,"Korangi - Produtos Farmacêuticos, Lda.",Não,Autorizado,Não Comercializado
Tadalafil,Cialis,Comprimido revestido por película,20 mg,"Eli Lilly Nederland, B.V.",Não,Autorizado,Comercializado
Tetracosactido,Synacthen Depot,Suspensão injetável,1 mg/ml,Alfasigma S.p.A.,Não,Autorizado,Não Comercializado
Fentanilo,Durogesic,Sistema transdérmico,75 µg/h,"Janssen Farmacêutica Portugal, Lda.",Não,Autorizado,Comercializado
Rivastigmina,Exelon,Cápsula,3 mg,Novartis Europharm Limited,Não,Autorizado,Comercializado
Estradiol,Femsete,Sistema transdérmico,50 µg/24 h,Theramex Ireland Limited,Não,Autorizado,Comercializado
Rivastigmina,Exelon,Cápsula,6 mg,Novartis Europharm Limited,Não,Autorizado,Comercializado
Betametasona + Ácido salicílico,Diprosalic,Pomada,0.5 mg/g + 30 mg/g,"Organon Portugal, Sociedade Unipessoal, Lda.",Não,Autorizado,Comercializado
Rivastigmina,Exelon,Cápsula,1.5 mg,Novartis Europharm Limited,Não,Autorizado,Comercializado
Betametasona,Diprosone,Pomada,0.5 mg/g,"Organon Portugal, Sociedade Unipessoal, Lda.",Não,Autorizado,Comercializado
Rivastigmina,Exelon,Cápsula,4.5 mg,Novartis Europharm Limited,Não,Autorizado,Comercializado
Etinilestradiol + Gestodeno,Minesse,Comprimido revestido por película,0.015 mg + 0.06 mg,"Laboratórios Pfizer, Lda.",Não,Autorizado,Comercializado
Oxibutinina,Ditropan,Comprimido,5 mg,Cheplapharm Arzneimittel GmbH,Não,Autorizado,Comercializado
Metolazona,Diulo,Comprimido,5 mg,"Desma Laboratorio Farmaceutico, S.L.",Não,Autorizado,Comercializado
Letrozol,Femara,Comprimido revestido por película,2.5 mg,"Novartis Farma - Produtos Farmacêuticos, S.A.",Não,Autorizado,Comercializado
Diclofenac,Fenil-V,Comprimido gastrorresistente,50 mg,"Faes Farma Portugal, S.A.",Não,Autorizado,Comercializado
Nicoboxil + Nonivamida,Finalgon,Pomada,25 mg/g + 4 mg/g,"Opella Healthcare Portugal, Unipessoal Lda",Não,Autorizado,Comercializado
Diclofenac,Fenil-V Retard,Cápsula de libertação prolongada,100 mg,"Faes Farma Portugal, S.A.",Não,Autorizado,Comercializado
Aciclovir,Divicil,Comprimido,200 mg,"Laboratório B. A. Farma, Lda.",Não,Autorizado,Não Comercializado
Piroxicam,Flexar,Cápsula,20 mg,"A. Menarini Portugal - Farmacêutica, S.A.",Não,Autorizado,Comercializado
Mononitrato de isossorbida,Imdur,Comprimido de libertação prolongada,60 mg,Topridge Pharma (Ireland) Limited,Não,Autorizado,Comercializado
Cetorolac,Cetorolac Accord,Solução injetável,30 mg/1 ml,"Accord Healthcare, S.L.U.",Sim,Autorizado,Comercializado
Hidróxido de magnésio,Leite Magnesia Phillips,Suspensão oral,83 mg/ml,"Perrigo Portugal, Lda.",Não,Autorizado,Comercializado
Cloranfenicol,Clorocil,Pomada oftálmica,10 mg/g,"Laboratório Edol - Produtos Farmacêuticos, S.A.",Não,Autorizado,Comercializado
Prednisolona,Lepicortinolo,Comprimido,5 mg,"Angelini Pharma Portugal, Unipessoal Lda",Não,Autorizado,Comercializado
Beladona + Fenolftaleína e outras associações,Doce Alívio,Comprimido,Associação,"Farmácia Moreno, Lda",Não,Autorizado,Comercializado
Prednisolona,Lepicortinolo,Comprimido,20 mg,"Angelini Pharma Portugal, Unipessoal Lda",Não,Autorizado,Comercializado
Butirato de hidrocortisona,Locoid Crelo,Emulsão cutânea,1 mg/g,Cheplapharm Arzneimittel GmbH,Não,Autorizado,Não Comercializado
Morfina,MST,Comprimido de libertação prolongada,10 mg,Mundipharma - Farmacêutica Lda.,Não,Autorizado,Comercializado
Ciprofloxacina,Ciprofloxacina Farmoz,Comprimido revestido por película,250 mg,"Farmoz - Sociedade Técnico Medicinal, S.A.",Sim,Autorizado,Comercializado
Ácido acetilsalicílico,Tromalyt 150 mg,Cápsula de libertação modificada,150 mg,"BGP Products, Unipessoal Lda.",Não,Autorizado,Comercializado
Flucloxacilina,Floxapen,Cápsula,500 mg,"Generis Farmacêutica, S.A.",Não,Autorizado,Comercializado
Flucloxacilina,Flucloxacilina Floxil 500 mg Cápsulas,Cápsula,500 mg,"Tecnimede - Sociedade Técnico-Medicinal, S.A.",Sim,Autorizado,Comercializado
Metronidazol,Dumozol Creme,Creme,10 mg/g,"Generis Farmacêutica, S.A.",Não,Autorizado,Não Comercializado
Indapamida,Fluidema,Cápsula,2.5 mg,"Baldacci - Portugal, S.A.",Não,Autorizado,Comercializado
Insulina lispro (solúvel),Humalog,Solução injetável em cartucho,100 U/ml,"Eli Lilly Nederland, B.V.",Não,Autorizado,Comercializado
Levofloxacina,Levofloxacina Farmoz 5 mg/ml Perfusão intravenosa,Solução para perfusão,5 mg/ml,"Farmoz - Sociedade Técnico Medicinal, S.A.",Sim,Autorizado,Não Comercializado
Cloropromazina,Largactil IV,Solução injetável,50 mg/2 ml,"Faes Farma Portugal, S.A.",Não,Autorizado,Comercializado
Betametasona + Calcipotriol,Daivobet,Gel,0.5 mg/g + 0.05 mg/g,Leo Pharma A/S,Não,Autorizado,Comercializado
Didrogesterona,Duphaston,Comprimido revestido por película,10 mg,"BGP Products, Unipessoal Lda.",Não,Autorizado,Comercializado
Bromazepam,Lexotan,Comprimido,3 mg,Cheplapharm Arzneimittel GmbH,Não,Autorizado,Comercializado
Ramipril + Amlodipina,Mepranil,Cápsula,2.5 mg + 5 mg,"Laboratório Medinfar - Produtos Farmacêuticos, S.A.",Não,Autorizado,Comercializado
Citrulina,Dynergum,Solução oral,2000 mg/10 ml,Biocodex,Não,Autorizado,Comercializado
Toxina botulínica A,Dysport,Pó para solução injetável,500 U,"Ipsen Portugal - Produtos Farmacêuticos, S.A.",Não,Autorizado,Comercializado
Sulfato de bário,E-Z-Cat,Suspensão oral,49.187 mg/ml,"Bracco Imaging, S.p.A.",Não,Autorizado,Comercializado
Levodropropizina,Levotuss,"Gotas orais, solução",60 mg/ml,"Dompé Farmaceutici, S.p.A.",Não,Autorizado,Não Comercializado
Levodropropizina,Levotuss,Xarope,6 mg/ml,"Dompé Farmaceutici, S.p.A.",Não,Autorizado,Comercializado
Lidocaína,Lincaína 1% Braun,Solução injetável,10 mg/ml,"B. Braun Medical, Unipessoal Lda.",Não,Autorizado,Comercializado
Ácido para-aminossalicílico,Paramino-Corazida,Comprimido revestido,500 mg,"Laboratórios Basi - Indústria Farmacêutica, S.A",Não,Autorizado,Não Comercializado
Insulina lispro (solúvel + protamina),Humalog Mix25,Suspensão injetável em cartucho,100 U/ml (25% + 75%),"Eli Lilly Nederland, B.V.",Não,Autorizado,Comercializado
Lidocaína,Lincaína 2% Braun,Solução injetável,20 mg/ml,"B. Braun Medical, Unipessoal Lda.",Não,Autorizado,Comercializado
Tacrolímus,Prograf,Cápsula,1 mg,"Astellas Farma, Lda.",Não,Autorizado,Comercializado
Lidocaína,Lincaína 5% Braun,Solução injetável,50 mg/ml,"B. Braun Medical, Unipessoal Lda.",Não,Autorizado,Não Comercializado
Flurbiprofeno,Edolfene,"Colírio, solução",0.3 mg/ml,"Laboratório Edol - Produtos Farmacêuticos, S.A.",Não,Autorizado,Comercializado
Efavirenz,Sustiva,Comprimido revestido por película,600 mg,Bristol-Myers Squibb Pharma EEIG,Não,Autorizado,Não Comercializado
Clonidina,Edolglau,"Colírio, solução",2.5 mg/ml,"Laboratório Edol - Produtos Farmacêuticos, S.A.",Não,Autorizado,Comercializado
Efavirenz,Stocrin,Comprimido revestido por película,600 mg,Merck Sharp & Dohme B.V.,Não,Autorizado,Não Comercializado
Tacrolímus,Prograf,Cápsula,5 mg,"Astellas Farma, Lda.",Não,Autorizado,Comercializado
Tacrolímus,Prograf,Concentrado para solução para perfusão,5 mg/ml,"Astellas Farma, Lda.",Não,Autorizado,Comercializado
Tacrolímus,Prograf,Cápsula,0.5 mg,"Astellas Farma, Lda.",Não,Autorizado,Comercializado
Paracetamol,Dafalgan 500mg,Comprimido efervescente,500 mg,UPSA SAS,Não,Autorizado,Comercializado
Minoxidil,Tricovivax,Solução cutânea,20 mg/ml,"Laboratório Medinfar - Produtos Farmacêuticos, S.A.",Não,Autorizado,Comercializado
Minoxidil,Tricovivax,Solução cutânea,50 mg/ml,"Laboratório Medinfar - Produtos Farmacêuticos, S.A.",Não,Autorizado,Comercializado
Piroxicam,Flexar,Gel,5 mg/g,"A. Menarini Portugal - Farmacêutica, S.A.",Não,Autorizado,Não Comercializado
Insulina lispro (solúvel),Liprolog,Solução injetável,100 U/ml,"Eli Lilly Nederland, B.V.",Não,Autorizado,Não Comercializado
Citrato de sódio + Laurilsulfoacetato de sódio,Microlax,Solução retal,450 mg/5 ml + 45 mg/5 ml,"Jaba Recordati, S.A.",Não,Autorizado,Comercializado
Indometacina,Elmetacin,Solução para pulverização cutânea,10 mg/g,"Ciclum Farma Unipessoal, Lda.",Não,Autorizado,Comercializado
Sulfato de bário,Micropaque,Suspensão oral,1000 mg/ml,Guerbet,Não,Autorizado,Comercializado
Insulina lispro (solúvel + protamina),Liprolog Mix 25,Suspensão injetável,100 U/ml (25% + 75%),"Eli Lilly Nederland, B.V.",Não,Autorizado,Não Comercializado
Proteínosuccinilato de ferro,Fetrival,Solução oral,800 mg/15 ml,"Almirall - Produtos Farmacêuticos, Lda.",Não,Autorizado,Comercializado
Tinzaparina sódica,Innohep,Solução injetável,4500 U.I. Anti-Xa/0.45 ml,Leo Pharma A/S,Não,Autorizado,Comercializado
Tadalafil,Cialis,Comprimido revestido por película,5 mg,"Eli Lilly Nederland, B.V.",Não,Autorizado,Comercializado
Lisinopril + Amlodipina,Lisinopril + Amlodipina Zentiva,Comprimido,10 mg + 5 mg,"Zentiva Portugal, Lda.",Sim,Autorizado,Não Comercializado
Lisinopril + Amlodipina,Lisinopril + Amlodipina Zentiva,Comprimido,20 mg + 10 mg,"Zentiva Portugal, Lda.",Sim,Autorizado,Não Comercializado
Insulina lispro (protamina),Humalog Basal,Suspensão injetável em cartucho,100 U/ml,"Eli Lilly Nederland, B.V.",Não,Autorizado,Não Comercializado
Atorvastatina,Atorvastatina Aristogen,Comprimido revestido por película,10 mg,Aristo Pharma GmbH,Sim,Autorizado,Não Comercializado
